abakaweishuangfuding 阿巴卡韦双夫定
tianqian 恬倩
tianqingfuxin 天晴复欣
tianqingganan 天晴甘安
tianqingganping 天晴甘平
tianqingkangxin 天晴康欣
tianqingrian 天晴日安
tianqingshunxin 天晴顺欣
tianqingyitai 天晴依泰
tianqingzhengshu 天晴正舒
tianquankangxin 天泉康欣
tianquanshuning 天全舒宁
tianshujiaonang 天舒胶囊
tiansu 天苏
tianwangbuxinwan 天王补心丸
tianxilin 天西林
tianxiangding 天香酊
tianxin 恬信
tianxinlibo 天新利博
tianxinlide 天新利德
tianxinshuang 天新爽
tianxing 天兴
tianxuanqing 天眩清
tianyi 天易
tianyian 添亦安
tianyuanjintong 天远今通
tianyuanjinxiao 天远今逍
tianyuanjinyu 天远今逾
tianzhongni 天仲尼
tianzihongnvjinjiaonang 天紫红女金胶囊
tiaogupian 跳骨片
tiaojingbaidaiwan 调经白带丸
tiaojingcuyunwan 调经促孕丸
tiaojinghuoxuepian 调经活血片
tiaojingjianweiwan 调经健胃丸
tiaojingzhitongpian 调经止痛片
tiaojingzimeiwan 调经姊妹丸
tiaozhongsixiaowan 调中四消丸
tielong 铁龙
tietai 铁泰
tinglijiangxuezhipian 葶苈降血脂片
tongao 同奥
tongbei 同贝
tongbipian 通痹片
tongbixiao 痛必消
tongbianlingjiaonang 通便灵胶囊
tongbo 同博
tongdarui 同达瑞
tongdijiaonang 通迪胶囊
tongfengdingjiaonang 痛风定胶囊
tongfengshujiaonang 痛风舒胶囊
tonggesuanandingsanchun 酮咯酸氨丁三醇
tongjingbaokeli 痛经宝颗粒
tongjingganluwan 通经甘露丸
tongkangpian 童康片
tongkangtasuo 酮康他索
tongkangzuo 酮康唑
tongke 统克
tongkechaji 痛克搽剂
tongkeqing 童刻清
tongkexin 彤可欣
tonglin 同林
tongluofen 酮洛芬
tongluokaibipian 通络开痹片
tongluoqutonggao 通络祛痛膏
tongluoshengrutangjiang 通络生乳糖浆
tongluoxiarukoufuye 通络下乳口服液
tongmaijiangzhipian 通脉降脂片
tongmaijiaonang 通脉胶囊
tongmaikeli 通脉颗粒
tongmaikoufuye 通脉口服液
tongming 同铭
tongqiaobiyanjiaonang 通窍鼻炎胶囊
tongqiaobiyankeli 通窍鼻炎颗粒
tongqiaobiyanpian 通窍鼻炎片
tongqiaoerlongwan 通窍耳聋丸
tongqiaoyixinwan 通窍益心丸
tongrendahuoluowan 同仁大活络丸
tongrenniuhuangqingxinwan 同仁牛黄清心丸
tongrenniuhuangqingxinwantianranniuhuang 同仁牛黄清心丸天然牛黄
tongrenwujibaifengkoufuye 同仁乌鸡白凤口服液
tongrenwujibaifengwan 同仁乌鸡白凤丸
tongrukeli 通乳颗粒
tongsaimaipian 通塞脉片
tongshutong 彤舒通
tongtaiqili 通泰奇力
tongtiankoufuye 通天口服液
tongxitong 同息通
tongxiao 同笑
tongxin 同欣
tongxindi 同新迪
tongxinluojiaonang 通心络胶囊
tongxuanlifeikeli 通宣理肺颗粒
tongxuanlifeikoufuye 通宣理肺口服液
tongxuanlifeipian 通宣理肺片
tongxuanlifeiwan 通宣理肺丸
tongxuekangjiaonang 痛血康胶囊
tongyongming 通用名
tongyuankangbei 通远康贝
tongyue 同悦
tongzhi 酮治
tongzhisurunjiangjiaonang 通滞苏润江胶囊
toubaoanbian 头孢氨苄
toubaoanbianjiayangbianding 头孢氨苄甲氧苄啶
toubaobingxi 头孢丙烯
toubaobowozhi 头孢泊肟酯
toubaodini 头孢地尼
toubaodiqinna 头孢地嗪钠
toubaofuxinna 头孢呋辛钠
toubaofuxinzhi 头孢呋辛酯
toubaokeluo 头孢克洛
toubaokewo 头孢克肟
toubaolading 头孢拉定
toubaoladingjingansuanyan 头孢拉定精氨酸盐
toubaoladingtansuanyan 头孢拉定碳酸盐
toubaoliumi 头孢硫脒
toubaomeizuona 头孢美唑钠
toubaomengduozhina 头孢孟多酯钠
toubaominuona 头孢米诺钠
toubaonixina 头孢尼西钠
toubaopaitongna 头孢哌酮钠
toubaopaitongnashubatanna 头孢哌酮钠舒巴坦钠
toubaopaitongnatazuobatanna 头孢哌酮钠他唑巴坦钠
toubaopian 头孢匹胺
toubaopianna 头孢匹胺钠
toubaoqianganbian 头孢羟氨苄
toubaoqianganbianjiayangbianding 头孢羟氨苄甲氧苄啶
toubaoqusongna 头孢曲松钠
toubaosaifenna 头孢噻吩钠
toubaosaiwona 头孢噻肟钠
toubaotading 头孢他啶
toubaotelunxinwuzhi 头孢特仑新戊酯
toubaotizuona 头孢替唑钠
toubaotuolunpizhi 头孢妥仑匹酯
toubaoxidingna 头孢西丁钠
toubaozuolinna 头孢唑啉钠 头孢唑林钠
toubaozuowona 头孢唑肟钠
toufengtongjiaonang 头风痛胶囊
toufengtongwan 头风痛丸
toulixian 头力先
toutongfen 头痛粉
tumeisu 土霉素
tuting 图婷
tuoan 托安
tuobaishi 托百士
tuobikaan 托吡卡胺
tuobilai 妥必来
tuobizhi 托吡酯
tuobumeisu 妥布霉素
tuobumeisudisaimisong 妥布霉素地塞米松
tuobumeisulvhuana 妥布霉素氯化钠
tuoen 托恩
tuoer 妥尔
tuojia 妥佳
tuokapeng 托卡朋
tuolasaimi 托拉塞米
tuomake 托马克
tuoninaisuan 托尼萘酸
tuoping 托平
tuopuyou 托普优
tuoqi 妥奇
tuosai 拓赛
tuosaimin 妥塞敏
tuoshu 妥抒
tuotai 妥泰
tuoxi 拓僖
tuoxisuanshutaxilin 托西酸舒他西林
tuoxing 妥星
tuoyanghegansuanna 脱氧核苷酸钠
wasongshuan 瓦松栓
wawaningpaotengpian 娃娃宁泡腾片
waikeyongdongganrenxianweidanbaijiao 外科用冻干人纤维蛋白胶
waiyongchongzuniujianxingchengxianweixibaoshengzhangyinzi 外用重组牛碱性成纤维细胞生长因子
waiyongchongzurenjianxingchengxianweixibaochengzhangyinzi 外用重组人碱性成纤维细胞成长因子
waiyongdongganrenningxuemei 外用冻干人凝血酶
waiyongdongganrenxianweidanbainianheji 外用冻干人纤维蛋白粘合剂
waiyongkuiyangsan 外用溃疡散
wanfu 万扶 万辅
wanfuluo 万复洛
wanfuyin 万复因
wanji 万吉 弯机
wanjunya 万君雅
wankesong 万可松
wanlianfuning 万联福宁
wanminxin 万敏新
wanqi 万祺 晚期
wanshining 万适宁
wanshiniuhuangqingxinpian 万氏牛黄清心片
wanshu 万舒
wanshumei 万舒美
wanshuangli 万爽力
wansulin 万苏林
wansuping 万苏平
wansuqi 万苏琪
wansuxin 万苏欣
wanting 万汀
wantongjingupian 万通筋骨片
wantuolinqiwuji 万托林气雾剂
wantuolinwuhuaye 万托林雾化液
wanwei 万唯
wanwen 万汶
wanxun 万迅
wanyi 万仪
wanyingjiaonang 万应胶囊
wangbikeli 尪痹颗粒
weiaiao 唯爱澳
weian 威安 维胺 韦安
weianping 谓安平
weianzhi 维胺酯
weibaisi 维百斯
weiboqi 维博奇
weiboxin 维博欣
weichongqing 唯虫清
weichun 维春
weidakangkeli 微达康颗粒
weidaxi 渭大喜
weideanjiaonang 胃得安胶囊
weidi 韦迪
weidile 威迪乐
weidimei 威地美
weidixi 唯地息
weierding 威迩定
weierke 韦尔可
weifan 威凡
weifu 维孚
weifuchunpian 胃复春片
weifujiaonang 胃复胶囊
weifuling 卫复灵
weiganfutaipian 维肝福泰片
weigeluo 维戈洛
weiguli 维固力
weihao 胃好
weihong 维宏
weijia 为佳
weijianeng 唯嘉能
weijian 唯健
weijianxin 维健欣
weijiangzhi 维绛知
weijiexin 维洁信
weikangfu 维康福
weikangjiaonang 胃康胶囊
weikangli 维康利
weikanglingjiaonang 胃康灵胶囊
weike 威克
weikean 卫可安
weikeheng 维可衡
weikelai 维可莱
weikeningpian 胃刻宁片
weikuxiuan 维库溴铵
weikun 唯坤
weile 韦乐
weilebi 谓乐必
weilefu 维乐福
weileming 维乐命
weileningpian 胃乐宁片
weilerui 威乐瑞
weileshukoufuye 胃乐舒口服液
weilexin 卫乐新
weilexinjiaonang 胃乐新胶囊
weilexinkeli 胃乐新颗粒
weilikangkeli 胃力康颗粒
weilining 威利宁 谓立宁
weilisida 维利斯达
weilitan 威利坦
weilinpugai 维磷葡钙
weilinggucigao 威灵骨刺膏
weilingkeli 胃灵颗粒
weiliufen 维柳芬
weilude 维路得
weimahuangjianlvbennamin 伪麻黄碱氯苯那敏
weimainingjiaonang 威麦宁胶囊
weimeijia 卫每加 卫美佳
weimeisu 维酶素
weimeng 卫萌
weimiao 唯妙
weimin 维敏
weiming 韦铭
weimosu 胃膜素
weinaojian 维瑙健
weinengkang 维能康
weinian 维尼安
weinihao 谓你好
weining 慰宁
weiningjia 维宁佳
weipai 威哌
weiping 维平
weipu 维普
weipuxin 威普辛 维普欣
weiqi 维奇
weiqida 威奇达
weiqiting 卫起汀
weirui 威锐
weisailai 威赛来
weisaixin 威赛欣
weisaiyin 威赛因
weishaxin 维沙欣
weishan 唯善
weishengbaowan 卫生宝丸
weishike 威氏克
weishipaike 威视派克
weishuping 胃舒平
weisi 韦斯
weisiping 韦司平
weisitong 维思通
weisong 唯松
weisukeli 胃苏颗粒
weisukeliwutangxing 胃苏颗粒无糖型
weisuansu 卫算苏
weitalipitechengren 维他利匹特成人
weitating 唯他停
weitai 威太
weitaijiaonang 胃泰胶囊
weite 伟特
weiteshen 威特神
weitengningpian 胃疼宁片
weitie 维铁
weitongdingpian 胃痛定片
weitongningpian 胃痛宁片
weiwo 维沃
weixianglu 谓香露
weixin 唯新 纬欣
weixinhaoxin 威信好欣
weixinping 卫昕平
weixueningkeli 维血宁颗粒
weixueningkoufuye 维血宁口服液
weiyankangjiaonang 胃炎康胶囊
weiyanningkeli 胃炎宁颗粒
weiyile 谓宜乐
weiyiwang 唯依旺
weiying 维英
weiyouxinpian 胃友新片
weize 维泽
weizhikangjiaonang 维脂康胶囊
wendiya 文迪雅
wenjinghuoxuepian 温经活血片
wenkexin 稳可信
wenqing 文清
wenting 文亭
wenweishujiaonang 温胃舒胶囊
wenweishukeli 温胃舒颗粒
wenxinkeli 稳心颗粒
wenglitongjiaonang 翁沥通胶囊
woerde 沃尔得
woliting 沃丽汀
woping 沃平
wosengantai 沃森干泰
wubenmeisi 乌苯美司
wuchenmanbianyingyuanzhiji 屋尘螨变应原制剂
wuduli 武都力
wufuhuadupian 五福化毒片
wufuliduo 五氟利多
wuhuolong 武活龙
wujibaifengjiaonang 乌鸡白凤胶囊
wujibaifengpian 乌鸡白凤片
wujibaifengwan 乌鸡白凤丸
wujigao 无极膏
wujiwan 五积丸
wujizengrujiaonang 乌鸡增乳胶囊
wujiarongxuekoufuye 五加茸血口服液
wujiashenghuajiaonang 五加生化胶囊
wuladier 乌拉地尔
wuladierlvhuana 乌拉地尔氯化钠
wuladierputaotang 乌拉地尔葡萄糖
wulihuichunwan 五粒回春丸
wulingdanjiaonang 五羚丹胶囊
wulingjiaonang 乌灵胶囊 五苓胶囊
wulingpian 五苓片
wulingwan 五灵丸
wulingzhitongjiaonang 五灵止痛胶囊
wuluotuopin 乌洛托品
wumei 吾玫
wurenchunjiaonang 五仁醇胶囊
wushuitoubaozuolinna 五水头孢唑啉钠
wusiniaribu 吾斯尼阿日布
wusitading 乌司他丁
wusixiaozhi 戊四硝酯
wusongzhongtongding 五松肿痛酊
wusuancierchun 戊酸雌二醇
wusuancierchuncierchunhuanbingyuntong 戊酸雌二醇雌二醇环丙孕酮
wutilinsi 乌体林斯
wutianzhi 吴天止
wuweijinsewan 五味金色丸
wuweilaiansuan 五维赖氨酸
wuweiniuhuangsuan 五维牛磺酸
wuweipugai 五维葡钙
wuweishexiangwan 五味麝香丸
wuweizhiganpian 五味治肝片
wuweizijiaonang 五味子胶囊
wuweizikeli 五味子颗粒
wuweizitangjiang 五味子糖浆
wuyan 吾琰
wuzaojiannaoanshenpian 乌枣健脑安神片
wuzhijiaonang 五酯胶囊
wuzhikeli 五酯颗粒
wuzhipian 五酯片
wuziyanzongkoufuye 五子衍宗口服液
wuziyanzongwan 五子衍宗丸
xiaike 西艾克
xiaili 希爱力
xianlin 喜安林 仙林
xibaiao 希柏澳
xibaike 息百克
xibaokang 硒宝康
xibiling 西比灵
xibilvan 西吡氯胺 西吡氯铵
xibingcichun 烯丙雌醇
xiboge 西博格
xichuanling 息喘灵
xicun 希存
xide 希德
xidezhen 喜得镇
xididian 西地碘
xidilin 西迪林
xidilinsuanbenbingpailin 西地磷酸苯丙哌林
xidian 喜典
xidianning 西点宁
xiersheng 希尔生
xifen 昔芬
xifuhuan 悉复欢
xifuxin 西扶新
xiganyou 稀甘油
xiguashuangrunhoupian 西瓜霜润喉片
xihuangjiaonang 西黄胶囊
xihuangqingxingwan 西黄清醒丸
xihuangwan 西黄丸
xijiaguiyou 西甲硅油
xijiaomu 硒酵母
xijie 希捷
xijing 希静
xijunning 悉君宁
xijunrongjiechanwu 细菌溶解产物
xikelao 希刻劳
xikewei 西可韦
xilapuli 西拉普利
xilebao 西乐葆
xileisan 锡类散
xili 昔利
xilibinanpian 西利宾胺片
xilite 喜力特
xilixin 西力欣
xiliaotuo 喜辽妥
xiluxin 希路信
xiluoda 希罗达
xiluoming 喜络明
xiluomosi 西罗莫司
xiluotazuo 西洛他唑
xiluowei 西洛伟
ximanxin 西曼欣
ximei 悉美
ximeina 希美纳
ximeixin 希美欣
ximeng 熙蒙
ximiling 希米灵
ximite 西米特
ximitiding 西咪替丁 西米替丁
ximitidinglvhuana 西咪替丁氯化钠
ximin 悉敏
xineng 希能 悉能
xining 喜宁 息宁
xinuoning 西诺宁
xipayiguyinye 西帕依固龈液
xipukeding 希普克定
xipule 西普乐
xipumiao 喜普妙
xipuxin 希普欣
xiqiting 西其汀
xiqing 析清
xiruyongqifuwan 吸入用七氟烷
xishabili 西沙必利
xishouxingmingjiaohaimian 吸收性明胶海绵
xishu 昔舒
xishumei 希舒美
xisimin 息斯敏
xisu 喜素
xiwading 希瓦丁
xiweier 西维尔
xixiantongshuanjiaonang 豨莶通栓胶囊
xixin 悉欣
xixinnao 细辛脑
xixinsheng 喜心生
xixinshu 喜欣舒
xiyanpingzhusheye 喜炎平注射液
xiyangshenjiaonang 西洋参胶囊
xiyangshenmilianchuanbeipipagao 西洋参蜜炼川贝枇杷膏
xiyouluo 希优洛
xiyuexin 西乐欣
xiyun 息韵
xizhida 西之达
xiakucaogao 夏枯草膏
xiakucaojiaonang 夏枯草胶囊
xiakucaokoufuye 夏枯草口服液
xiasangjukeli 夏桑菊颗粒
xiatianwujiaonang 夏天无胶囊
xiatianwupian 夏天无片
xiatianwuzhusheye 夏天无注射液
xianbeiling 先倍领
xianbixian 先必先
xianchen 先辰
xianding 先定
xianerkang 显尔抗
xianfengbi 先锋必
xianfengjiu 仙逢久
xianfengmeitachun 先锋美他醇
xiangan 腺苷
xianganguan 腺苷钴胺
xianhong 先宏
xianjie 先捷
xiankang 先抗
xiankexin 显克欣
xiankuisha 先奎沙
xianleke 先乐克
xianli 仙立
xianlinuo 先力诺
xianlite 仙利特
xianlinna 仙林纳
xianling 先凌
xianlinggubaojiaonang 仙灵骨葆胶囊
xianlingpipian 仙灵脾片
xianni 先妮
xianning 先宁
xianpu 先普
xianqiang 先强
xianqiangyanling 先强严灵
xianqin 先嗪
xianrongmei 纤溶酶
xianrui 先瑞
xianshengkechuanning 先声咳喘宁
xianshu 先舒
xiantai 先泰
xianteming 仙特明
xianwei 先威
xianxi 先希
xianyou 先友
xianyuexiongjiaonang 仙乐雄胶囊
xianzhulikoufuye 鲜竹沥口服液
xiangcaoquan 香草醛
xiangdanzhusheye 香丹注射液
xiangdi 祥迪
xianggujunduotangxiangguduotang 香菇菌多糖香菇多糖
xiangjupian 香菊片
xianglianhuazhiwan 香连化滞丸
xianglianjiaonang 香连胶囊
xianglianpian 香连片
xianglianwan 香连丸
xiangshaheweiwan 香砂和胃丸
xiangshaliujunwan 香砂六君丸
xiangshapingweikeli 香砂平胃颗粒
xiangshapingweiwan 香砂平胃丸
xiangshayangweikeli 香砂养胃颗粒
xiangshayangweipian 香砂养胃片
xiangshayangweiruanjiaonang 香砂养胃软胶囊
xiangshayangweiwan 香砂养胃丸
xiangshazhishuwan 香砂枳术丸
xiangyungantaipian 香云肝泰片
xiaoaipingpian 消癌平片
xiaoaipingtangjiang 消癌平糖浆
xiaoaipingzhusheye 消癌平注射液
xiaobai 小白
xiaobendiping 硝苯地平
xiaochaihukeli 小柴胡颗粒
xiaochaihupian 小柴胡片
xiaochuangao 消喘膏
xiaochuanningkeli 哮喘宁颗粒
xiaoeranfenhuangnamin 小儿氨酚黄那敏
xiaoeranfennamin 小儿氨酚那敏
xiaoeranfenwanan 小儿氨酚烷胺
xiaoeranfenweima 小儿氨酚伪麻
xiaoeranjisuan 小儿氨基酸
xiaoerbaibeizhiketangjiang 小儿白贝止咳糖浆
xiaoerbaibuzhiketangjiang 小儿百部止咳糖浆
xiaoerbailepian 小儿百乐片
xiaoerbaotaikangkeli 小儿宝泰康颗粒
xiaoerbiyanpian 小儿鼻炎片
xiaoerchaiguituirekoufuye 小儿柴桂退热口服液
xiaoerchangweikangkeli 小儿肠胃康颗粒
xiaoerchiqiaoqingrekeli 小儿豉翘清热颗粒
xiaoerdaochipian 小儿导赤片
xiaoerduiyixiananjifen 小儿对乙酰氨基酚
xiaoerfeikekeli 小儿肺咳颗粒
xiaoerfeirekechuankeli 小儿肺热咳喘颗粒
xiaoerfeirekechuankoufuye 小儿肺热咳喘口服液
xiaoerfeirepingjiaonang 小儿肺热平胶囊
xiaoerfenankamin 小儿酚氨咖敏
xiaoerfengreqingkoufuye 小儿风热清口服液
xiaoerfufangbeinuozhi 小儿复方贝诺酯
xiaoerfufanghuanganerjiamiding 小儿复方磺胺二甲嘧啶
xiaoerfufanghuanganjiaezuo 小儿复方磺胺甲噁唑
xiaoerfufangjineijinsan 小儿复方鸡内金散
xiaoerfufangsiweiyatie 小儿复方四维亚铁
xiaoerfuxieningtangjiang 小儿腹泻宁糖浆
xiaoerfuxietie 小儿腹泻贴
xiaoerganmaokeli 小儿感冒颗粒
xiaoerganmaokoufuye 小儿感冒口服液
xiaoerganmaoningtangjiang 小儿感冒宁糖浆
xiaoerganmaotuiretangjiang 小儿感冒退热糖浆
xiaoerganyankeli 小儿肝炎颗粒
xiaoerguangpuzhixiekoufuye 小儿广朴止泻口服液
xiaoerhulusan 小儿葫芦散
xiaoerhuadusan 小儿化毒散
xiaoerhuashikoufuye 小儿化食口服液
xiaoerhuashiwan 小儿化食丸
xiaoerhuatanzhikechongji 小儿化痰止咳冲剂
xiaoerhuatanzhikekeli 小儿化痰止咳颗粒
xiaoerjianpihuajikoufuye 小儿健脾化积口服液
xiaoerjianpitiegao 小儿健脾贴膏
xiaoerjianweiningkoufuye 小儿健胃宁口服液
xiaoerjiebiaokeli 小儿解表颗粒
xiaoerjinqiaokeli 小儿金翘颗粒
xiaoerkangkeli 小儿康颗粒
xiaoerkechuanlingkeli 小儿咳喘灵颗粒
xiaoerkechuanlingkoufuye 小儿咳喘灵口服液
xiaoerlibao 小儿利宝
xiaoerliusuanyatietangjiang 小儿硫酸亚铁糖浆
xiaoermagankeli 小儿麻甘颗粒
xiaoermaizaopian 小儿麦枣片
xiaoerniuhuangqingfeipian 小儿牛黄清肺片
xiaoerniuhuangsan 小儿牛黄散
xiaoerpijianlingtangjiang 小儿脾健灵糖浆
xiaoerqixingchakeli 小儿七星茶颗粒
xiaoerqiyingwan 小儿奇应丸
xiaoerqizhenwan 小儿七珍丸
xiaoerqingfeihuatankeli 小儿清肺化痰颗粒
xiaoerqingfeihuatankoufuye 小儿清肺化痰口服液
xiaoerqingfeizhikepian 小儿清肺止咳片
xiaoerqingrelifeikoufuye 小儿清热利肺口服液
xiaoerqingrelingpian 小儿清热灵片
xiaoerqingreningkeli 小儿清热宁颗粒
xiaoerqingrepian 小儿清热片
xiaoerqingrezhikekoufuye 小儿清热止咳口服液
xiaoerqingrezhiketangjiang 小儿清热止咳糖浆
xiaoerqingyankeli 小儿清咽颗粒
xiaoerrekekoufuye 小儿热咳口服液
xiaoerresuqingkeli 小儿热速清颗粒
xiaoerresuqingkoufuye 小儿热速清口服液
xiaoerresuqingtangjiang 小儿热速清糖浆
xiaoershancun 小儿善存
xiaoershengxuetangjiang 小儿生血糖浆
xiaoershuangqingkeli 小儿双清颗粒
xiaoersiweipugai 小儿四维葡钙
xiaoertuxieningsan 小儿吐泻宁散
xiaoertuirekoufuye 小儿退热口服液
xiaoerweibaowan 小儿胃宝丸
xiaoerweimameifen 小儿伪麻美芬
xiaoerweishengsu 小儿维生素
xiaoerwuweilaiansuan 小儿五维赖氨酸
xiaoerxishipian 小儿喜食片
xiaoerxishitangjiang 小儿喜食糖浆
xiaoerxiaojizhikekoufuye 小儿消积止咳口服液
xiaoerxiesutingkeli 小儿泻速停颗粒
xiaoeryanbiankeli 小儿咽扁颗粒
xiaoeryansuanyibingqin 小儿盐酸异丙嗪
xiaoerzengshipian 小儿增食片
xiaoerzhenbeisan 小儿珍贝散
xiaoerzhibaowan 小儿至宝丸
xiaoerzhiketangjiang 小儿止咳糖浆
xiaoerzhilitangjiang 小儿智力糖浆
xiaoerzhisoujindan 小儿止嗽金丹
xiaoerzhisoutangjiang 小儿止嗽糖浆
xiaoerzhixieankeli 小儿止泻安颗粒
xiaofengzhiyangkeli 消风止痒颗粒
xiaofutaier 硝呋太尔
xiaofutaierzhimeijunsu 硝呋太尔制霉菌素
xiaofutaierzhimeisu 硝呋太尔制霉素
xiaohepian 消核片
xiaohuoluowan 小活络丸
xiaojianzhongheji 小建中合剂
xiaojianzhongkeli 小建中颗粒
xiaojieanjiaonang 消结安胶囊
xiaojinjiaonang 小金胶囊
xiaojinwan 小金丸
xiaokechuanjiaonang 消咳喘胶囊
xiaokechuanpian 消咳喘片
xiaokechuantangjiang 消咳喘糖浆
xiaokekangkeli 消渴康颗粒
xiaokeningpian 消咳宁片
xiaoketongmaikoufuye 消渴通脉口服液
xiaokewan 消渴丸
xiaokezhi 消可治
xiaolaiwei 潇莱威
xiaoluotongjiaonang 消络痛胶囊
xiaomei 小眉
xiaomengpian 消朦片
xiaomishuan 消糜拴
xiaoniupitiquwu 小牛脾提取物
xiaoniuxueqingqudanbai 小牛血清去蛋白
xiaoniuxuequdanbaitiquwu 小牛血去蛋白提取物
xiaoniuxuequdanbaitiquwulvhuana 小牛血去蛋白提取物氯化钠
xiaoniuxuequdanbaitiquwuzhusheye 小牛血去蛋白提取物注射液
xiaopilingkeli 消疲灵颗粒
xiaopuna 硝普纳 硝普钠
xiaoqinglongheji 小青龙合剂
xiaoqinglongjiaonang 小青龙胶囊
xiaoqinglongkeli 小青龙颗粒
xiaoran 潇然
xiaoshierkang 小施尔康
xiaoshierkangyingyouer 小施尔康婴幼儿
xiaoshijianertangjiang 消食健儿糖浆
xiaoshuanjiaonang 消栓胶囊
xiaoshuankeli 消栓颗粒
xiaoshuankoufuye 消栓口服液
xiaoshuantongluojiaonang 消栓通络胶囊
xiaoshuantongluokeli 消栓通络颗粒
xiaoshuantongluopian 消栓通络片
xiaoshuanzaizaowan 消栓再造丸
xiaosuanganyou 硝酸甘油
xiaosuanmaoguoyunxiangjian 硝酸毛果芸香碱
xiaosuanmikangzuo 硝酸咪康唑
xiaosuanshetakangzuo 硝酸舍他康唑
xiaosuanyikangzuo 硝酸益康唑
xiaosuanyishanlizhi 硝酸异山梨酯
xiaosuanyishanlizhilvhuana 硝酸异山梨酯氯化钠
xiaosuanyishanlizhiputaotang 硝酸异山梨酯葡萄糖
xiaosuanyiyeqiujian 硝酸一叶萩碱
xiaosuanyin 硝酸银
xiaotongtiegao 消痛贴膏
xiaoxi 骁悉
xiaoxingan 小芯苷
xiaoxintong 消心痛
xiaoxuankaduoqu 消旋卡多曲
xiaoxuanshanlangdangjian 消旋山莨菪碱
xiaoxuanzhiyunpian 消眩止晕片
xiaoyanlidanjiaonang 消炎利胆胶囊
xiaoyanlidankeli 消炎利胆颗粒
xiaoyanlidanpian 消炎利胆片
xiaoyanlidanruanjiaonang 消炎利胆软胶囊
xiaoyanlingjiaonang 消炎灵胶囊
xiaoyanpian 消炎片
xiaoyantongshuan 消炎痛栓
xiaoyantuirekeli 消炎退热颗粒
xiaoyanxuanshiyaogao 消炎癣湿药膏
xiaoyanzhentonggao 消炎镇痛膏
xiaoyaokeli 逍遥颗粒
xiaoyaokeliwutangxing 逍遥颗粒无糖型
xiaoyaoruanjiaonang 逍遥软胶囊
xiaoyaowan 逍遥丸
xiaoyinjiaonang 消银胶囊
xiaoyinkeli 消银颗粒
xiaoyinpian 消银片
xiaoyukangjiaonang 消瘀康胶囊
xiaozhengyiganpian 消癥益肝片
xiaozhilingzhusheye 消痔灵注射液
xiaozhiruangao 消痔软膏
xiaozhongzhentonggao 消肿镇痛膏
xiaozhongzhitongding 消肿止痛酊
xiedali 协达利
xiedu 蝎毒
xieke 缬克
xieliguchangwan 泻痢固肠丸
xieliting 泻痢停
xieliangxing 协良行
xiemeida 协美达
xienuoxin 协诺信
xiesaitongdiwan 血塞通滴丸
xiesaitongjiaonang 血塞通胶囊
xiesaitongkeli 血塞通颗粒
xiesaitongpian 血塞通片
xiesaitongruanjiaonang 血塞通软胶囊
xiesaitongzhusheye 血塞通注射液
xieshatan 缬沙坦
xieshatanqinglvsaiqin 缬沙坦氢氯噻嗪
xiexinshu 协新舒
xinanjiaonang 心安胶囊
xinankoufuye 心安口服液
xinanlin 欣安林
xinanningpian 心安宁片
xinanxin 新安欣
xinaole 欣奥乐
xinbaichang 欣百昌
xinbaike 新百克
xinbaiqiangneng 新百强能
xinbaosang 辛保桑
xinbaowan 心宝丸
xinbei 欣贝 辛贝
xinbeike 鑫贝科
xinbikedoubao 信必可都保
xinbolin 新博林
xinchangfu 欣畅福
xinchangsu 欣畅苏
xindabao 新达宝
xindadelei 新达德雷
xindajing 信达静
xindakang 信达康
xindakangjiaonang 心达康胶囊
xindakangpian 心达康片
xindaluo 新达罗
xindashu 信达舒
xindasu 新达苏
xindayue 信达悦
xindean 心得安
xindelusheng 新德路生
xindiwei 馨迪威
xinfading 信法丁
xinfatating 辛伐他汀
xinfangbiyanjiaonang 辛芳鼻炎胶囊
xinfeng 欣丰
xinfu 欣弗
xinfuda 欣复达
xinfufangdaqingyepian 新复方大青叶片
xinfukang 新妇康
xinfuneng 欣复能
xinfuxin 新福欣
xinganbaojiaonang 心肝宝胶囊
xingeertai 欣咯而泰
xingefei 新格非
xinguishu 欣桂舒
xinhao 心好
xinhongkang 新红康
xinhuangpian 新癀片
xinhuosu 新活素
xinjier 欣吉尔
xinjiaji 欣加吉
xinjielin 新杰林
xinjieming 新洁明
xinkaite 新开特
xinkang 新抗 欣康
xinkangrui 信康瑞
xinkangtaike 新康泰克
xinke 欣克 辛可
xinkekang 锌可康
xinkening 心可宁
xinkeningjiaonang 心可宁胶囊
xinkenuo 欣可诺
xinkeshu 信可舒
xinkeshujiaonang 心可舒胶囊
xinkeshupian 心可舒片
xinkesong 信可松
xinkuaixin 新快欣
xinkunchang 欣坤畅
xinlai 信徕
xinlanxin 辛兰欣
xinlekangpian 新乐康片
xinlexin 欣乐新
xinlikangkeli 欣力康颗粒
xinlike 新立克
xinlisheng 欣粒生
xinlituo 信利妥 新力妥
xinliwei 信力威 欣立威
xinlixi 信立希
xinlixin 信立欣
xinliyi 信立怡
xinlizhenggupenwuji 新力正骨喷雾剂
xinlingwan 心灵丸
xinlongfeizishui 信龙痱子水
xinlu 欣露
xinluxin 欣路信
xinluolin 欣洛林
xinluona 新洛纳
xinlvningpian 心律宁片
xinlvping 心律平
xinmaitongjiaonang 心脉通胶囊
xinmaitongpian 心脉通片
xinmeige 欣美格
xinmeijia 欣美佳
